지역상권구분CODE|상권시도구분CODE|광역상권구분CODE|하위상권구분CODE|지역상권명|상권시도명|광역상권명|하위상권명|시군구CODE|합계행여부|지역구분원천(1)|지역구분원천(2)
0900I024|09|00|I024|경기  산본역|경기||산본역|41410|0|경기|산본역
0900I025|09|00|I025|경기  상록수역|경기||상록수역|41271|0|경기|상록수역
0900I026|09|00|I026|경기  상중동|경기||상중동|41190|0|경기|상중동
0900I027|09|00|I027|경기  상현역|경기||상현역|41465|0|경기|상현역
0900I028|09|00|I028|경기  서판교|경기||서판교|41135|0|경기|서판교
0900I029|09|00|I029|경기  선부다이아몬드|경기||선부다이아몬드|41273|0|경기|선부다이아몬드
0900I032|09|00|I032|경기  송내역|경기||송내역|41190|0|경기|송내역
0900I034|09|00|I034|경기  시흥시립도서관|경기||시흥시립도서관|41390|0|경기|시흥시립도서관
0900I036|09|00|I036|경기  안산중앙역|경기||안산중앙역|41273|0|경기|안산중앙역
0900I039|09|00|I039|경기  야탑역|경기||야탑역|41135|0|경기|야탑역
0900I041|09|00|I041|경기  역곡역|경기||역곡역|41190|0|경기|역곡역
0900I044|09|00|I044|경기  월피다이아몬드|경기||월피다이아몬드|41271|0|경기|월피다이아몬드
0900I045|09|00|I045|경기  위례신도시|경기||위례신도시|41131|0|경기|위례신도시
0900I046|09|00|I046|경기  의정부민락|경기||의정부민락|41150|0|경기|의정부민락
0900I052|09|00|I052|경기  죽전카페거리|경기||죽전카페거리|41463|0|경기|죽전카페거리
0900I055|09|00|I055|경기  파주운정신도시|경기||파주운정신도시|41480|0|경기|파주운정신도시
0900I061|09|00|I061|경기  한대앞역|경기||한대앞역|41271|0|경기|한대앞역
0900I062|09|00|I062|경기  행신역|경기||행신역|41281|0|경기|행신역
0900I063|09|00|I063|경기  화정역|경기||화정역|41281|0|경기|화정역
1000J003|10|00|J003|강원  동해천곡|강원||동해천곡|42170|0|강원|동해천곡
1000J009|10|00|J009|강원  원주무실지구|강원||원주무실지구|42130|0|강원|원주무실지구
1000J012|10|00|J012|강원  원주혁신도시|강원||원주혁신도시|42130|0|강원|원주혁신도시
1100K003|11|00|K003|충북  오창호수공원|충북||오창호수공원|43114|0|충북|오창호수공원
1100K004|11|00|K004|충북  용담동우체국|충북||용담동우체국|43111|0|충북|용담동우체국
1100K007|11|00|K007|충북  청주고속버스터미널|충북||청주고속버스터미널|43113|0|충북|청주고속버스터미널
1100K009|11|00|K009|충북  청주지방법원|충북||청주지방법원|43112|0|충북|청주지방법원
1100K011|11|00|K011|충북  충북혁신도시|충북||충북혁신도시|43770|0|충북|충북혁신도시
1200L004|12|00|L004|충남  금산인삼국제시장|충남||금산인삼국제시장|44710|0|충남|금산인삼국제시장
1200L008|12|00|L008|충남  백석|충남||백석|44133|0|충남|백석
1200L014|12|00|L014|충남  천안시청|충남||천안시청|44133|0|충남|천안시청
1300M006|13|00|M006|전북  전북혁신도시|전북||전북혁신도시|45113|0|전북|전북혁신도시
1400N003|14|00|N003|전남  광주전남혁신도시|전남||광주전남혁신도시|46170|0|전남|광주전남혁신도시
1400N013|14|00|N013|전남  전남도청|전남||전남도청|46840|0|전남|전남도청
1500O002|15|00|O002|경북  경북김천혁신도시|경북||경북김천혁신도시|47150|0|경북|경북김천혁신도시
1500O003|15|00|O003|경북  경북도청신도시|경북||경북도청신도시|47170|0|경북|경북도청신도시
1600P003|16|00|P003|경남  김해수리공원|경남||김해수리공원|48250|0|경남|김해수리공원
1600P004|16|00|P004|경남  김해시 내외동|경남||김해시 내외동|48250|0|경남|김해시 내외동
1600P006|16|00|P006|경남  김해장유|경남||김해장유|48250|0|경남|김해장유
1600P009|16|00|P009|경남  물금지구|경남||물금지구|48330|0|경남|물금지구
1600P012|16|00|P012|경남  양산역|경남||양산역|48330|0|경남|양산역
1600P014|16|00|P014|경남  진주혁신도시|경남||진주혁신도시|48170|0|경남|진주혁신도시
1600P016|16|00|P016|경남  창원명곡동|경남||창원명곡동|48121|0|경남|창원명곡동
